u,v,w
0,2,10
0,10,7
0,21,8
0,22,1
0,27,6
0,29,4
0,32,4
0,36,4
0,37,6
0,40,9
0,43,5
1,3,7
1,6,3
1,9,2
1,10,8
1,12,10
1,13,8
1,14,1
1,18,5
1,19,7
1,20,3
1,26,10
1,32,5
1,35,2
1,39,7
1,40,4
1,46,6
2,7,2
2,21,1
2,23,8
2,26,6
2,29,1
2,36,10
2,41,2
2,44,2
3,4,9
3,5,6
3,9,9
3,11,5
3,23,10
3,25,1
3,27,7
3,32,2
3,34,10
3,36,7
3,46,7
4,2,7
4,3,8
4,8,3
4,10,8
4,16,2
4,22,5
4,23,7
4,29,8
4,31,9
4,43,10
5,4,6
5,6,5
5,11,5
5,14,6
5,17,9
5,18,9
5,19,9
5,24,3
5,25,3
5,26,6
5,27,4
5,33,6
5,35,6
5,38,9
5,41,4
5,46,8
6,0,10
6,3,8
6,12,8
6,14,2
6,19,2
6,23,5
6,27,4
6,31,8
6,32,4
6,35,5
6,36,10
6,41,7
6,42,4
6,44,9
7,1,9
7,6,9
7,10,9
7,12,10
7,17,3
7,23,6
7,25,6
7,26,2
7,30,6
7,32,9
7,39,10
7,40,6
7,46,4
8,9,8
8,10,9
8,16,6
8,23,1
8,24,2
8,25,4
8,29,2
8,34,9
8,35,10
8,39,6
8,42,10
8,46,9
9,0,2
9,1,9
9,3,7
9,4,2
9,5,4
9,8,8
9,11,4
9,15,5
9,18,3
9,21,3
9,22,7
9,23,4
9,31,4
9,32,1
9,36,7
9,38,9
9,42,2
9,45,7
9,46,2
10,2,5
10,9,7
10,11,6
10,12,1
10,18,9
10,21,9
10,34,7
10,46,9
11,4,3
11,6,1
11,9,9
11,15,7
11,17,5
11,19,4
11,21,2
11,31,5
11,32,1
11,38,6
11,39,1
12,4,1
12,5,9
12,17,1
12,24,8
12,29,10
12,31,10
12,36,2
12,40,5
13,1,5
13,2,9
13,5,3
13,7,5
13,11,9
13,15,6
13,16,2
13,17,10
13,19,5
13,22,4
13,27,1
13,29,10
13,30,7
13,32,6
13,36,8
13,37,5
13,40,6
13,41,7
14,7,8
14,8,7
14,13,10
14,15,5
14,16,2
14,17,4
14,24,1
14,25,6
14,31,5
14,33,10
14,34,9
14,36,1
14,46,1
15,0,7
15,1,7
15,3,6
15,8,2
15,10,3
15,18,4
15,23,5
15,24,9
15,25,3
15,30,4
15,35,6
15,42,9
15,44,2
15,45,5
16,1,10
16,5,5
16,10,7
16,17,5
16,19,4
16,26,10
16,31,5
16,32,9
16,33,3
16,39,8
16,41,2
16,45,2
17,0,2
17,9,4
17,12,3
17,14,2
17,16,7
17,22,8
17,24,4
17,27,8
17,28,5
17,29,9
17,31,7
17,34,3
17,37,6
17,38,5
17,42,9
17,43,10
18,1,2
18,5,6
18,7,3
18,11,2
18,15,8
18,17,9
18,21,9
18,31,5
18,32,3
18,33,4
18,46,3
19,3,4
19,10,1
19,16,6
19,27,9
19,29,3
19,39,7
19,41,7
20,4,3
20,13,1
20,21,3
20,22,9
20,29,8
20,30,8
20,32,7
20,34,2
20,37,9
20,38,6
20,41,10
20,44,8
20,45,7
21,5,1
21,6,6
21,7,9
21,9,6
21,11,6
21,14,9
21,15,4
21,18,6
21,28,1
21,30,10
21,32,10
21,34,2
21,35,1
21,36,6
22,3,4
22,9,9
22,10,2
22,12,1
22,15,3
22,25,1
22,31,6
22,33,1
22,36,6
23,1,7
23,3,9
23,8,7
23,10,7
23,11,1
23,13,9
23,21,2
23,27,3
23,34,9
23,39,10
23,43,9
24,1,2
24,9,6
24,10,10
24,13,9
24,15,10
24,17,9
24,20,7
24,28,3
24,29,7
24,31,2
24,32,5
24,33,3
24,35,6
24,36,2
24,40,5
24,42,1
25,6,2
25,7,5
25,9,5
25,11,10
25,12,6
25,13,1
25,15,8
25,16,3
25,17,4
25,21,5
25,26,6
25,35,4
25,38,8
25,39,4
26,0,7
26,1,4
26,3,3
26,6,1
26,9,2
26,10,6
26,19,5
26,28,10
